workload,shape_preset,domain,tag,mode,status,elapsed_wall_s,median_ms,p25_ms,p99_ms
llm_rmsnorm,decode,llm,reduction,eager,ok,0.9741488399449736,0.02534399926662445,0.02486399933695793,0.026528000831604004
llm_rmsnorm,decode,llm,elementwise,eager,ok,0.9741488399449736,0.02534399926662445,0.02486399933695793,0.026528000831604004
llm_rmsnorm,decode,llm,reduction,default,ok,0.94862588099204,0.005632000043988228,0.005535999778658152,0.006016000173985958
llm_rmsnorm,decode,llm,elementwise,default,ok,0.94862588099204,0.005632000043988228,0.005535999778658152,0.006016000173985958
llm_rmsnorm,decode,llm,reduction,reduce-overhead,ok,0.9852915179217234,0.017920000478625298,0.017343999817967415,0.1626828819513321
llm_rmsnorm,decode,llm,elementwise,reduce-overhead,ok,0.9852915179217234,0.017920000478625298,0.017343999817967415,0.1626828819513321
llm_rmsnorm,decode,llm,reduction,max-autotune,ok,0.9281682169530541,0.01788800023496151,0.017343999817967415,0.018945920728147013
llm_rmsnorm,decode,llm,elementwise,max-autotune,ok,0.9281682169530541,0.01788800023496151,0.017343999817967415,0.018945920728147013
llm_rmsnorm,decode,llm,reduction,max-autotune-no-cudagraphs,ok,1.1159648461034521,0.005439999978989363,0.005216000135987997,0.005888000130653381
llm_rmsnorm,decode,llm,elementwise,max-autotune-no-cudagraphs,ok,1.1159648461034521,0.005439999978989363,0.005216000135987997,0.005888000130653381
llm_layernorm,decode,llm,reduction,eager,ok,0.9261901999125257,0.009568000212311745,0.009312000125646591,0.01033599954098463
llm_layernorm,decode,llm,elementwise,eager,ok,0.9261901999125257,0.009568000212311745,0.009312000125646591,0.01033599954098463
llm_layernorm,decode,llm,reduction,default,ok,0.8934598220512271,0.005919999908655882,0.005663999821990728,0.006399999838322401
llm_layernorm,decode,llm,elementwise,default,ok,0.8934598220512271,0.005919999908655882,0.005663999821990728,0.006399999838322401
llm_layernorm,decode,llm,reduction,reduce-overhead,ok,1.036555350990966,0.018432000651955605,0.017791999503970146,0.08315327987074896
llm_layernorm,decode,llm,elementwise,reduce-overhead,ok,1.036555350990966,0.018432000651955605,0.017791999503970146,0.08315327987074896
llm_layernorm,decode,llm,reduction,max-autotune,ok,1.020359682966955,0.018239999189972878,0.017696000635623932,0.05225599929690361
llm_layernorm,decode,llm,elementwise,max-autotune,ok,1.020359682966955,0.018239999189972878,0.017696000635623932,0.05225599929690361
llm_layernorm,decode,llm,reduction,max-autotune-no-cudagraphs,ok,1.0823728590039536,0.00598399993032217,0.005888000130653381,0.0063680000603199005
llm_layernorm,decode,llm,elementwise,max-autotune-no-cudagraphs,ok,1.0823728590039536,0.00598399993032217,0.005888000130653381,0.0063680000603199005
llm_swiglu_mlp,decode,llm,gemm,eager,ok,0.9978915739338845,0.05548800155520439,0.0549440011382103,0.05728000029921532
llm_swiglu_mlp,decode,llm,elementwise,eager,ok,0.9978915739338845,0.05548800155520439,0.0549440011382103,0.05728000029921532
llm_swiglu_mlp,decode,llm,fused-mlp,eager,ok,0.9978915739338845,0.05548800155520439,0.0549440011382103,0.05728000029921532
llm_swiglu_mlp,decode,llm,gemm,default,ok,0.9103266459424049,0.050592001527547836,0.049695998430252075,0.05273599922657013
